,2016_section,2016_all,2016_key,factor,loading
100,records,HCPs rely on digital records for the information they need at the point of care; paper records are used by exception.,x42,16,0.34802511239797224
101,medicines,What proportion of outpatient medications are prescribed digitally in your organisation?,x88,16,0.7592722322457879
102,medicines,What proportion of chemotherapy is prescribed digitally in your organisation?,x103,16,0.3327449262506999
103,medicines,What proportion of patients and medicines are positively identified prior to administration through automatic identification and data capture using barcode technology?,x97,16,0.5180816568511218
104,standards,For what proportion of patients is a verified NHS number included on all information shared with any other care provider or organisation directly involved in a patients care and treatment?,x141,17,0.9281612436995873
105,infrastructure,Digital services are supported by an IT support Service Desk that prioritises incidents using a consistent approach agreed with nominated service users/owners,x153,17,0.35491879618033434
106,transfers,What proportion of patient information relating to handovers of care within your organisation is shared by Healthcare professionals digitally?,x56,18,0.46097916391267313
107,remote,"Remote/virtual clinical consultations and clinical advice are available to patients using tools such as online meetings, videoconferencing, skype, email or instant messaging",x117,18,0.8858864717811827
108,remote,"Healthcare professionals are able to contribute remotely to discussions about patient care with colleagues outside your organisation using tools such as online meeting, videoconferencing or skype",x118,18,0.3231128235917018
109,orders,"Healthcare professionals within your organisation have digital access to all relevant diagnostic test results and images for patients under their care, including those undertaken by other providers.",x81,19,0.9370349120461475
110,orders,"Healthcare professionals have digital access to all relevant diagnostic test results and images for patients under their care, including those undertaken by other local providers.",z2,19,0.8517232650393743
111,orders,What proportion of patients are positively identified through using barcode technology at the point of sample collection and specimen labelling and prior to all diagnostic tests being performed?,x75,20,0.9034295592533783
112,standards,"GS1 is used to identify all patients, products and places, and for radio-frequency identification (RFID) tagging.",x146,20,0.4524259523316012
113,records,Healthcare professionals in your organisation have digital access to the information they need from local social care providers.,x44,21,0.5399618375723731
114,records,Local social care providers have digital access to information from your organisation,x46,21,0.996174111685984
115,remote,"Healthcare professionals are able to contribute remotely to discussions about patient care with colleagues outside your organisation using tools such as online meeting, videoconferencing or skype",x118,22,1.0151306941033005
116,infrastructure,Software (including operating systems) used on NHS-owned IT infrastructure is approved and recorded on a software asset & licence register that confirms it is appropriately licensed for such use,x152,22,0.3220061338753018
117,information,You are confident the entire workforce understands and follows your organisations information governance policies & processes.,x27,23,1.0329894242623476
118,information,"There are robust due diligence mechanisms in place to ensure all 3rd parties comply with the law and central guidance and provide sufficient guarantees that personal data is handled safely and protected from unauthorised access, accidental loss, damage and destruction.",x29,23,0.31767497170776626
119,information,All information governance requirements are articulated in third party contracts and monitored on an ongoing basis.,x30,23,0.36919826867389693
120,leadership,Your Board owns the organisations digital strategy and expects to receive regular updates about progress.,x6,24,0.46090260937603483
121,leadership,The team leading the organisations digital transformation includes a board-level sponsor,x7,24,0.49996218931895486
122,leadership,"You have strong clinical leadership through a nominated Chief Clinical Information Officer, Chief Nursing Information Officer or equivalent",x8,24,0.6367782077028057
123,leadership,Your CCIO or equivalent has adequate protected time as part of his/her job plan to undertake the requirements of the role within your organisation.,x9,24,0.8042035513396808
124,governance,"There is a Board-led digital programme(s), supported by effective operational IT delivery.",x19,24,0.42508658932252447
125,records,Other local healthcare providers have digital access to the information they need from your organisation,x45,25,0.3851830791590463
126,transfers,"At patient discharge, what proportion of care summaries are shared digitally with GPs?",x62,25,0.8639306994178709
127,transfers,What proportion of care summaries are generated in real time and shared digitally with other relevant care providers as soon as completed?,x61,25,0.4277826587029229
128,orders,Healthcare professionals can digitally access diagnostic test results and images quickly and easily at the point of care,x84,25,0.32906058748897793
129,asset,Healthcare professionals use digital systems to manage inpatient beds throughout the organisation,x123,25,0.326694211723491
130,records,In what format are each of the following types of records held in your organisation: Clinical Notes,x34,26,0.43307330362398605
131,records,In what format are each of the following types of records held in your organisation: Care Plans,x36,26,0.9490843975191244
132,information,"There is active identification, monitoring and review of cyber security risks.",z1,27,0.9236361796830285
133,information,The Board has a full and accurate picture that the organisations key information is being properly managed and is safe from cyber threats.,x26,27,0.3847597350267624
134,asset,Healthcare professionals use digital systems to manage inpatient beds throughout the organisation,x123,28,0.952009974738353
135,asset,Patient flow is tracked digitally in real time across all departments and sites to identify bottlenecks and delays,x124,28,0.7390855545561802
136,infrastructure,Healthcare professionals have wi-fi access to clinical applications across your estate,x147,29,0.6209638334095597
137,infrastructure,Public wi-fi is available in public areas across your estate,x148,29,0.7925401579514265
138,infrastructure,Healthcare professionals are equipped with mobile devices to access clinical applications and information at the point of care,x149,29,0.4234429668196317
139,governance,Your organisation does routinely adopt principles outlined in best practice guidelines relating to digital services,x23,30,0.35228037929178596
140,asset,"The location of key clinical assets, e.g. medical equipment, devices & prostheses, is digitally tracked throughout your organisation (all sites, buildings, departments, wards etc)",x125,30,0.8070353146486672
141,asset,Staff rostering is managed using digital systems throughout the organisation,x126,31,0.7632944858917916
142,orders,What proportion of laboratory test results are available to healthcare professionals digitally?,x78,32,0.37905160227683415
143,orders,What proportion of radiology test results are available to healthcare professionals digitally?,x79,32,0.8149201358250102
144,orders,What proportion of results from any other diagnostic tests are available to healthcare professionals digitally?,x80,32,0.30991132518160297
145,standards,SNOMED CT is used to support directmanagement of care,x142,33,0.8429310816750628
