organisation_name,organisation_id,Your organisation has a clearly defined digital strategy which is aligned to clinical and corporate objectives.,"Implementation of the digital strategy is fully aligned to, and supported by, a service transformation programme(s).",There are effective processes in place to prioritise investment in digital technology and support ideas through to implementation,Digital technology is being used to support improved collaboration and coordination across different parts of your organisation,Your organisation participates in a wider health and care community initiative to achieve digital record sharing
Hinchingbrooke Health Care NHS Trust,RQQ,75,50,50,75,75
Homerton University Hospital NHS Foundation Trust,RQX,75,75,75,75,100
Hull and East Yorkshire Hospitals NHS Trust,RWA,75,75,100,75,100
Imperial College Healthcare NHS Trust,RYJ,100,100,100,100,100
Ipswich Hospital NHS Trust,RGQ,75,75,100,100,100
Isle Of Wight NHS Trust,R1F,75,50,25,75,100
James Paget University Hospitals NHS Foundation Trust,RGP,25,,75,75,100
Kettering General Hospital NHS Foundation Trust,RNQ,25,,75,75,75
Kings College Hospital NHS Foundation Trust,RJZ,100,75,75,100,75
Kingston Hospital NHS Trust,RAX,50,,75,100,75
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,75,75,100,100,100
Leeds Teaching Hospitals NHS Trust,RR8,75,75,100,100,100
Lewisham and Greenwich NHS Trust,RJ2,75,50,75,75,100
Liverpool Heart and Chest Hospital NHS Trust,RBQ,75,25,75,100,100
Liverpool Womens Hospital NHS Trust,REP,100,100,100,100,100
London North West Healthcare NHS Trust,R1K,100,75,75,75,100
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,100,100,100,100
Maidstone and Tunbridge Wells NHS Trust,RWF,75,50,75,75,75
Medway NHS Foundation Trust,RPA,75,100,75,75,100
Mid Cheshire Hospitals NHS Foundation Trust,RBT,100,50,100,75,100
Mid Essex Hospital Services NHS Trust,RQ8,75,75,75,75,50
Mid Yorkshire Hospitals NHS Trust,RXF,25,,75,75,75
Milton Keynes General Hospital NHS Trust,RD8,75,75,75,75,50
Moorfields Eye Hospital NHS Trust,RP6,50,,75,50,50
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,75,50,75,50,50
North Bristol NHS Trust,RVJ,50,,75,75,100
North Cumbria University Hospitals NHS Trust,RNL,75,50,50,50,75
North Middlesex University Hospital NHS Trust,RAP,75,75,50,75,25
North Tees and Hartlepool NHS Foundation Trust,RVW,75,50,100,100,100
Northampton General Hospital NHS Trust,RNS,75,50,75,75,100
Northern Devon Healthcare NHS Trust,RBZ,75,75,75,75,75
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,100,100,100,100,100
Northumbria Healthcare NHS Foundation Trust,RTF,100,75,100,100,100
Nottingham University Hospitals NHS Trust,RX1,100,100,100,100,100
Oxford University Hospitals NHS Trust,RTH,75,75,75,75,100
Papworth Hospital NHS Foundation Trust,RGM,100,75,75,50,75
Pennine Acute Hospitals NHS Trust,RW6,100,100,100,50,100
Peterborough and Stamford Hospitals NHS Foundation Trust,RGN,75,75,75,100,50
Plymouth Hospitals NHS Trust,RK9,100,100,100,75,100
Poole Hospitals NHS Trust,RD3,75,50,75,50,100
Portsmouth Hospitals NHS Trust,RHU,75,75,50,25,100
Royal Berkshire NHS Foundation Trust,RHW,75,50,50,50,75
Royal Brompton and Harefield NHS Foundation Trust,RT3,100,75,100,100,100
Royal Cornwall Hospitals NHS Trust,REF,25,,75,75,25
Royal Devon and Exeter NHS Foundation Trust,RH8,100,100,25,25,100
Royal Free London NHS Foundation Trust,RAL,75,75,100,75,100
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,100,75,100,100,100
Royal National Orthopaedic Hospital NHS Trust,RAN,75,75,75,75,75
Royal Surrey County Hospital NHS Trust,RA2,25,,25,50,50
Royal United Hospital Bath NHS Trust,RD1,100,75,100,100,100
Salford Royal Hospitals NHS Trust,RM3,100,100,100,100,100
Salisbury NHS Foundation Trust,RNZ,75,50,75,100,100
Sandwell and West Birmingham Hospitals NHS Trust,RXK,75,25,50,75,100
Sheffield Childrens NHS Trust,RCU,75,25,75,75,75
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,100,75,100,75,100
Sherwood Forest Hospitals NHS Foundation Trust,RK5,25,,75,75,100
Shrewsbury and Telford Hospital NHS Trust,RXW,50,,75,75,75
South Tees Hospitals NHS Trust,RTR,75,75,75,75,75
South Tyneside Foundation NHS Trust,RE9,75,25,100,75,100
South Warwickshire NHS Foundation Trust,RJC,100,75,100,100,50
Southend University Hospital NHS Foundation Trust,RAJ,75,75,75,100,75
Southport and Ormskirk Hospital NHS Trust,RVY,100,75,75,75,100
St Georges University Hospitals NHS Foundation Trust,RJ7,100,75,75,75,100
St Helens and Knowsley Hospitals NHS Trust,RBN,50,,50,75,50
Stockport NHS Foundation Trust,RWJ,100,75,75,75,100
Surrey and Sussex Healthcare NHS Trust,RTP,100,75,100,100,75
Tameside Hospital NHS Foundation Trust,RMP,50,,75,75,100
Taunton and Somerset NHS Foundation Trust,RBA,100,75,50,25,100
The Christie NHS Foundation Trust,RBV,75,50,25,75,100
The Dudley Group NHS Foundation Trust,RNA,75,75,100,75,75
The Hillingdon Hospitals NHS Foundation Trust,RAS,100,75,100,75,100
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,75,75,75,100,100
The Princess Alexandra Hospital NHS Trust,RQW,25,,100,100,100
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,0,,75,75,25
The Queen Victoria Hospital NHS Foundation Trust,RPC,75,75,75,75,50
The Robert Jones & Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,75,25,25,50,75
The Rotherham NHS Foundation Trust,RFR,50,,75,100,100
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,75,50,75,100,100
The Royal Marsden NHS Foundation Trust,RPY,100,75,75,75,100
The Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,75,75,50,75,100
The Royal Wolverhampton NHS Trust,RL4,100,100,100,100,100
The Walton Centre NHS Foundation Trust,RET,100,100,100,100,100
The Whittington Hospital NHS Trust,RKE,50,,50,50,100
Torbay and Southern Devon Health and Care NHS Trust,R1G,100,75,100,75,100
United Lincolnshire Hospitals NHS Trust,RWD,75,75,75,100,100
University College London Hospitals NHS Foundation Trust,RRV,75,100,100,50,100
University Hospital Of North Staffordshire NHS Trust,RJE,50,,100,100,100
University Hospital Of South Manchester NHS Foundation Trust,RM2,75,75,75,50,75
University Hospitals Birmingham NHS Foundation Trust,RRK,100,100,100,100,100
University Hospitals Bristol NHS Foundation Trust,RA7,100,75,75,100,100
University Hospitals Coventry and Warwickshire NHS,RKB,100,75,100,100,100
University Hospitals Of Leicester NHS Trust,RWE,100,75,75,50,100
University Hospitals Of Morecambe Bay NHS Trust,RTX,75,50,50,75,75
University Hospitals Southampton NHS Foundation Trust,RHM,75,50,50,100,100
Walsall Healthcare NHS Trust,RBK,50,,75,75,75
Warrington and Halton Hospitals NHS Foundation Trust,RWW,100,100,100,100,100
West Hertfordshire Hospitals NHS Trust,RWG,25,,25,25,75
West Suffolk NHS Foundation Trust,RGR,100,100,100,25,75
Western Sussex Hospitals NHS Trust,RYR,25,,75,100,100
Weston Area Health NHS Trust,RA3,50,,75,75,100
Wirral University Teaching Hospital NHS Foundation Trust,RBL,100,75,100,100,100
Worcestershire Acute Hospitals NHS Trust,RWP,75,50,50,100,100
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,75,75,50,75,100
Wye Valley NHS Trust,RLQ,75,100,75,75,100
Yeovil District Hospital NHS Foundation Trust,RA4,100,100,100,100,100
York Teaching Hospital NHS Foundation Trust,RCB,75,50,50,75,75
