organisation_name,organisation_id,"There is active identification, monitoring and review of cyber security risks.",The Board has a full and accurate picture that the organisations key information is being properly managed and is safe from cyber threats.,You are confident the entire workforce understands and follows your organisations information governance policies & processes.,"You receive assurance on a regular basis that your suppliers and digital assets are secure, including penetration testing.","There are robust due diligence mechanisms in place to ensure all 3rd parties comply with the law and central guidance and provide sufficient guarantees that personal data is handled safely and protected from unauthorised access, accidental loss, damage and destruction.",All information governance requirements are articulated in third party contracts and monitored on an ongoing basis.
Gloucestershire Hospitals NHS Foundation Trust,RTE,75,75,100,75,100,75
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,25,75,75,75,75,75
Great Western Hospitals NHS Foundation Trust,RN3,100,50,75,75,75,50
Guys and St Thomas NHS Foundation Trust,RJ1,100,75,75,75,75,75
Hampshire Hospitals NHS Foundation Trust,RN5,75,75,75,75,75,100
Harrogate and District NHS Foundation Trust,RCD,75,75,75,75,100,75
Heart Of England NHS Foundation Trust,RR1,100,25,75,50,75,100
Hinchingbrooke Health Care NHS Trust,RQQ,100,75,100,50,100,100
Homerton University Hospital NHS Foundation Trust,RQX,75,75,75,50,75,75
Hull and East Yorkshire Hospitals NHS Trust,RWA,75,75,75,25,75,75
Imperial College Healthcare NHS Trust,RYJ,100,100,75,75,100,100
Ipswich Hospital NHS Trust,RGQ,75,75,75,100,75,100
Isle Of Wight NHS Trust,R1F,75,50,75,50,50,50
James Paget University Hospitals NHS Foundation Trust,RGP,75,75,75,50,50,75
Kettering General Hospital NHS Foundation Trust,RNQ,50,50,75,75,75,75
Kings College Hospital NHS Foundation Trust,RJZ,75,50,50,75,75,100
Kingston Hospital NHS Trust,RAX,75,75,75,50,75,75
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,25,75,75,75,50,75
Leeds Teaching Hospitals NHS Trust,RR8,75,100,100,75,100,100
Lewisham and Greenwich NHS Trust,RJ2,75,75,50,50,50,50
Liverpool Heart and Chest Hospital NHS Trust,RBQ,75,75,100,25,100,50
Liverpool Womens Hospital NHS Trust,REP,100,100,100,75,100,100
London North West Healthcare NHS Trust,R1K,75,75,75,50,75,75
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,100,75,75,75,100
Maidstone and Tunbridge Wells NHS Trust,RWF,25,75,75,50,75,75
Medway NHS Foundation Trust,RPA,75,50,50,50,50,50
Mid Cheshire Hospitals NHS Foundation Trust,RBT,75,75,75,100,100,75
Mid Essex Hospital Services NHS Trust,RQ8,50,50,50,50,50,75
Mid Yorkshire Hospitals NHS Trust,RXF,50,25,75,50,25,25
Milton Keynes General Hospital NHS Trust,RD8,100,75,75,50,75,75
Moorfields Eye Hospital NHS Trust,RP6,75,50,50,75,50,0
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,75,75,50,75,50,50
North Bristol NHS Trust,RVJ,75,75,75,75,100,75
North Cumbria University Hospitals NHS Trust,RNL,75,75,75,100,75,75
North Middlesex University Hospital NHS Trust,RAP,75,75,50,50,75,75
North Tees and Hartlepool NHS Foundation Trust,RVW,100,75,75,75,100,100
Northampton General Hospital NHS Trust,RNS,75,50,75,50,75,75
Northern Devon Healthcare NHS Trust,RBZ,75,75,50,25,75,75
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,75,100,50,75,100,75
Northumbria Healthcare NHS Foundation Trust,RTF,75,75,100,75,75,75
Nottingham University Hospitals NHS Trust,RX1,100,100,75,50,75,100
Oxford University Hospitals NHS Trust,RTH,75,50,75,75,75,50
Papworth Hospital NHS Foundation Trust,RGM,75,75,75,25,75,75
Pennine Acute Hospitals NHS Trust,RW6,100,100,100,100,100,75
Peterborough and Stamford Hospitals NHS Foundation Trust,RGN,100,75,75,50,75,75
Plymouth Hospitals NHS Trust,RK9,75,75,75,75,75,75
Poole Hospitals NHS Trust,RD3,75,100,50,50,50,50
Portsmouth Hospitals NHS Trust,RHU,75,75,75,50,75,75
Royal Berkshire NHS Foundation Trust,RHW,50,50,75,25,50,50
Royal Brompton and Harefield NHS Foundation Trust,RT3,100,75,75,25,100,100
Royal Cornwall Hospitals NHS Trust,REF,75,75,50,75,50,25
Royal Devon and Exeter NHS Foundation Trust,RH8,75,100,100,75,75,100
Royal Free London NHS Foundation Trust,RAL,75,75,100,75,100,75
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,75,75,75,25,75,75
Royal National Orthopaedic Hospital NHS Trust,RAN,75,50,75,75,75,75
Royal Surrey County Hospital NHS Trust,RA2,25,25,75,25,25,25
Royal United Hospital Bath NHS Trust,RD1,100,100,100,75,100,75
Salford Royal Hospitals NHS Trust,RM3,100,100,100,100,100,100
Salisbury NHS Foundation Trust,RNZ,75,75,75,50,75,50
Sandwell and West Birmingham Hospitals NHS Trust,RXK,75,50,50,0,25,0
Sheffield Childrens NHS Trust,RCU,75,50,25,75,75,75
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,75,75,75,50,50,75
Sherwood Forest Hospitals NHS Foundation Trust,RK5,100,100,100,100,100,100
Shrewsbury and Telford Hospital NHS Trust,RXW,75,25,75,25,50,50
South Tees Hospitals NHS Trust,RTR,75,75,75,100,75,50
South Tyneside Foundation NHS Trust,RE9,100,50,75,75,100,75
South Warwickshire NHS Foundation Trust,RJC,100,75,75,75,75,75
Southend University Hospital NHS Foundation Trust,RAJ,100,100,75,100,100,100
Southport and Ormskirk Hospital NHS Trust,RVY,25,25,100,25,75,75
St Georges University Hospitals NHS Foundation Trust,RJ7,75,50,50,75,50,75
St Helens and Knowsley Hospitals NHS Trust,RBN,75,75,75,75,100,75
Stockport NHS Foundation Trust,RWJ,100,75,75,75,75,75
Surrey and Sussex Healthcare NHS Trust,RTP,75,75,100,75,75,75
Tameside Hospital NHS Foundation Trust,RMP,75,50,75,50,75,75
Taunton and Somerset NHS Foundation Trust,RBA,100,100,25,75,75,25
The Christie NHS Foundation Trust,RBV,100,50,75,50,75,50
The Dudley Group NHS Foundation Trust,RNA,75,75,75,25,75,75
The Hillingdon Hospitals NHS Foundation Trust,RAS,100,75,75,75,100,75
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,100,100,100,100,100,100
The Princess Alexandra Hospital NHS Trust,RQW,25,75,75,75,100,100
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,25,25,100,0,0,50
The Queen Victoria Hospital NHS Foundation Trust,RPC,,,,,,
The Robert Jones & Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,75,100,75,100,100,75
The Rotherham NHS Foundation Trust,RFR,75,75,75,50,100,75
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,75,75,25,50,75,75
The Royal Marsden NHS Foundation Trust,RPY,100,25,75,100,100,100
The Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,75,50,75,25,75,75
The Royal Wolverhampton NHS Trust,RL4,100,100,75,75,100,100
The Walton Centre NHS Foundation Trust,RET,100,100,100,100,100,100
The Whittington Hospital NHS Trust,RKE,75,50,75,50,75,50
Torbay and Southern Devon Health and Care NHS Trust,R1G,100,100,75,100,100,100
United Lincolnshire Hospitals NHS Trust,RWD,75,75,75,75,75,75
University College London Hospitals NHS Foundation Trust,RRV,50,50,50,75,100,75
University Hospital Of North Staffordshire NHS Trust,RJE,100,100,75,75,75,75
University Hospital Of South Manchester NHS Foundation Trust,RM2,25,50,50,50,50,50
University Hospitals Birmingham NHS Foundation Trust,RRK,75,75,75,100,50,75
University Hospitals Bristol NHS Foundation Trust,RA7,75,75,50,75,75,75
University Hospitals Coventry and Warwickshire NHS,RKB,100,75,75,100,75,75
University Hospitals Of Leicester NHS Trust,RWE,75,75,100,100,100,100
University Hospitals Of Morecambe Bay NHS Trust,RTX,100,75,75,100,100,75
University Hospitals Southampton NHS Foundation Trust,RHM,75,25,25,25,25,50
Walsall Healthcare NHS Trust,RBK,75,100,75,50,50,75
Warrington and Halton Hospitals NHS Foundation Trust,RWW,75,50,75,50,75,75
West Hertfordshire Hospitals NHS Trust,RWG,100,50,25,75,75,75
West Suffolk NHS Foundation Trust,RGR,100,75,75,75,75,75
Western Sussex Hospitals NHS Trust,RYR,100,100,100,100,100,100
Weston Area Health NHS Trust,RA3,75,75,50,100,75,75
Wirral University Teaching Hospital NHS Foundation Trust,RBL,75,75,75,75,75,100
Worcestershire Acute Hospitals NHS Trust,RWP,100,100,100,50,75,75
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,75,50,50,0,75,50
Wye Valley NHS Trust,RLQ,75,50,25,25,25,50
Yeovil District Hospital NHS Foundation Trust,RA4,75,75,50,0,100,50
York Teaching Hospital NHS Foundation Trust,RCB,75,75,50,25,25,25
