organisation_name,organisation_id,"There is a Board-led digital programme(s), supported by effective operational IT delivery.","Project and programme boards follow standard project management methodologies, ensuring effective allocation of roles and responsibility.",Digital projects are underpinned by valid business cases and fully-engaged business owners.,Your organisation does routinely evaluate the benefits of digital projects using a consistent approach,Your organisation does routinely adopt principles outlined in best practice guidelines relating to digital services
Papworth Hospital NHS Foundation Trust,RGM,75,50,75,75,74
Pennine Acute Hospitals NHS Trust,RW6,100,100,100,100,71
Peterborough and Stamford Hospitals NHS Foundation Trust,RGN,100,75,75,75,71
Plymouth Hospitals NHS Trust,RK9,100,100,75,50,75
Poole Hospitals NHS Trust,RD3,75,75,75,75,73
Portsmouth Hospitals NHS Trust,RHU,75,100,50,25,85
Royal Berkshire NHS Foundation Trust,RHW,75,75,50,50,80
Royal Brompton and Harefield NHS Foundation Trust,RT3,75,100,75,25,67
Royal Cornwall Hospitals NHS Trust,REF,50,75,75,25,73
Royal Devon and Exeter NHS Foundation Trust,RH8,75,100,100,75,75
Royal Free London NHS Foundation Trust,RAL,75,100,100,100,70
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,75,100,75,100,82
Royal National Orthopaedic Hospital NHS Trust,RAN,75,100,75,75,73
Royal Surrey County Hospital NHS Trust,RA2,25,50,75,50,67
Royal United Hospital Bath NHS Trust,RD1,100,100,100,100,89
Salford Royal Hospitals NHS Trust,RM3,100,100,100,75,91
Salisbury NHS Foundation Trust,RNZ,50,75,25,25,85
Sandwell and West Birmingham Hospitals NHS Trust,RXK,75,75,50,25,74
Sheffield Childrens NHS Trust,RCU,25,50,50,25,67
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,75,75,100,75,70
Sherwood Forest Hospitals NHS Foundation Trust,RK5,50,100,75,50,84
Shrewsbury and Telford Hospital NHS Trust,RXW,75,75,25,25,82
South Tees Hospitals NHS Trust,RTR,100,100,100,75,80
South Tyneside Foundation NHS Trust,RE9,100,75,75,25,79
South Warwickshire NHS Foundation Trust,RJC,100,100,100,100,66
Southend University Hospital NHS Foundation Trust,RAJ,100,100,100,100,77
Southport and Ormskirk Hospital NHS Trust,RVY,75,75,50,25,71
St Georges University Hospitals NHS Foundation Trust,RJ7,75,100,100,100,77
St Helens and Knowsley Hospitals NHS Trust,RBN,75,75,75,25,82
Stockport NHS Foundation Trust,RWJ,75,100,75,75,72
Surrey and Sussex Healthcare NHS Trust,RTP,100,100,100,100,72
Tameside Hospital NHS Foundation Trust,RMP,75,75,75,50,70
Taunton and Somerset NHS Foundation Trust,RBA,100,75,75,25,88
The Christie NHS Foundation Trust,RBV,100,25,25,25,81
The Dudley Group NHS Foundation Trust,RNA,100,100,100,100,78
The Hillingdon Hospitals NHS Foundation Trust,RAS,75,100,100,75,80
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,100,100,100,75,85
The Princess Alexandra Hospital NHS Trust,RQW,100,75,75,25,68
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,25,75,75,25,83
The Queen Victoria Hospital NHS Foundation Trust,RPC,25,75,75,50,82
The Robert Jones & Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,75,75,50,75,91
The Rotherham NHS Foundation Trust,RFR,100,75,75,25,62
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,50,75,75,75,37
The Royal Marsden NHS Foundation Trust,RPY,75,100,100,100,89
The Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,75,25,50,25,74
The Royal Wolverhampton NHS Trust,RL4,100,100,100,100,79
The Walton Centre NHS Foundation Trust,RET,100,100,100,100,88
The Whittington Hospital NHS Trust,RKE,50,75,75,25,60
Torbay and Southern Devon Health and Care NHS Trust,R1G,75,100,75,75,76
United Lincolnshire Hospitals NHS Trust,RWD,75,75,75,75,78
University College London Hospitals NHS Foundation Trust,RRV,100,100,75,50,71
University Hospital Of North Staffordshire NHS Trust,RJE,100,75,75,75,85
University Hospital Of South Manchester NHS Foundation Trust,RM2,75,75,75,50,68
University Hospitals Birmingham NHS Foundation Trust,RRK,100,100,100,100,76
University Hospitals Bristol NHS Foundation Trust,RA7,100,100,75,75,66
University Hospitals Coventry and Warwickshire NHS,RKB,75,75,75,50,78
University Hospitals Of Leicester NHS Trust,RWE,75,75,100,100,90
University Hospitals Of Morecambe Bay NHS Trust,RTX,75,75,75,75,77
University Hospitals Southampton NHS Foundation Trust,RHM,75,75,75,25,71
Walsall Healthcare NHS Trust,RBK,50,100,75,75,75
Warrington and Halton Hospitals NHS Foundation Trust,RWW,100,100,100,75,64
West Hertfordshire Hospitals NHS Trust,RWG,50,75,25,25,67
West Suffolk NHS Foundation Trust,RGR,100,100,75,75,78
Western Sussex Hospitals NHS Trust,RYR,100,100,100,75,75
Weston Area Health NHS Trust,RA3,25,75,75,25,73
Wirral University Teaching Hospital NHS Foundation Trust,RBL,100,75,75,75,74
Worcestershire Acute Hospitals NHS Trust,RWP,100,100,100,75,78
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,75,100,75,25,87
Wye Valley NHS Trust,RLQ,100,75,75,50,84
Yeovil District Hospital NHS Foundation Trust,RA4,75,50,75,50,81
York Teaching Hospital NHS Foundation Trust,RCB,75,50,75,50,87
