organisation_name,organisation_id,"Your organisation has the buying, contracting, and supplier management capability it needs to manage technology suppliers",Your organisation undertakes quantitative and qualitative benefits identification in conjunction with commercial suppliers,Your organisation ensures adequate resources are available for technology implementation and change management,Your organisation has a clinical safety officer and routinely undertakes assessment of clinical safety and risk for all digital projects,There are financial plans in place for investment in digital technology you require over the next 2-3 years
Great Western Hospitals NHS Foundation Trust,RN3,100,75,75,0,75
Guys and St Thomas NHS Foundation Trust,RJ1,75,75,75,100,100
Hampshire Hospitals NHS Foundation Trust,RN5,75,50,25,0,25
Harrogate and District NHS Foundation Trust,RCD,100,75,50,100,25
Heart Of England NHS Foundation Trust,RR1,75,50,50,75,25
Hinchingbrooke Health Care NHS Trust,RQQ,75,25,25,25,0
Homerton University Hospital NHS Foundation Trust,RQX,100,75,75,75,50
Hull and East Yorkshire Hospitals NHS Trust,RWA,75,75,75,100,75
Imperial College Healthcare NHS Trust,RYJ,100,100,100,100,100
Ipswich Hospital NHS Trust,RGQ,100,100,100,100,75
Isle Of Wight NHS Trust,R1F,25,75,25,25,25
James Paget University Hospitals NHS Foundation Trust,RGP,100,50,75,50,25
Kettering General Hospital NHS Foundation Trust,RNQ,50,25,25,75,50
Kings College Hospital NHS Foundation Trust,RJZ,75,75,75,75,75
Kingston Hospital NHS Trust,RAX,75,50,75,50,75
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,100,75,75,25,100
Leeds Teaching Hospitals NHS Trust,RR8,75,75,75,75,75
Lewisham and Greenwich NHS Trust,RJ2,75,75,75,75,75
Liverpool Heart and Chest Hospital NHS Trust,RBQ,75,25,100,0,25
Liverpool Womens Hospital NHS Trust,REP,100,100,100,100,100
London North West Healthcare NHS Trust,R1K,75,75,50,75,75
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,100,100,100,100
Maidstone and Tunbridge Wells NHS Trust,RWF,50,50,75,100,75
Medway NHS Foundation Trust,RPA,25,50,75,100,100
Mid Cheshire Hospitals NHS Foundation Trust,RBT,75,75,25,0,100
Mid Essex Hospital Services NHS Trust,RQ8,75,50,50,25,75
Mid Yorkshire Hospitals NHS Trust,RXF,25,75,25,50,50
Milton Keynes General Hospital NHS Trust,RD8,75,75,75,100,75
Moorfields Eye Hospital NHS Trust,RP6,75,0,25,100,25
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,25,50,25,0,50
North Bristol NHS Trust,RVJ,75,0,75,75,75
North Cumbria University Hospitals NHS Trust,RNL,50,50,25,75,0
North Middlesex University Hospital NHS Trust,RAP,25,25,25,25,75
North Tees and Hartlepool NHS Foundation Trust,RVW,100,50,75,100,100
Northampton General Hospital NHS Trust,RNS,75,75,0,75,75
Northern Devon Healthcare NHS Trust,RBZ,75,75,75,75,75
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,100,100,75,100,100
Northumbria Healthcare NHS Foundation Trust,RTF,50,100,50,75,100
Nottingham University Hospitals NHS Trust,RX1,100,75,75,75,75
Oxford University Hospitals NHS Trust,RTH,75,75,50,75,75
Papworth Hospital NHS Foundation Trust,RGM,75,75,50,25,50
Pennine Acute Hospitals NHS Trust,RW6,100,100,75,100,100
Peterborough and Stamford Hospitals NHS Foundation Trust,RGN,100,50,100,75,100
Plymouth Hospitals NHS Trust,RK9,100,75,75,75,100
Poole Hospitals NHS Trust,RD3,75,75,50,75,50
Portsmouth Hospitals NHS Trust,RHU,25,75,25,75,0
Royal Berkshire NHS Foundation Trust,RHW,75,50,25,50,25
Royal Brompton and Harefield NHS Foundation Trust,RT3,75,75,75,75,100
Royal Cornwall Hospitals NHS Trust,REF,75,75,25,25,50
Royal Devon and Exeter NHS Foundation Trust,RH8,75,75,25,75,0
Royal Free London NHS Foundation Trust,RAL,100,75,75,75,75
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,100,75,100,75,75
Royal National Orthopaedic Hospital NHS Trust,RAN,25,75,75,75,25
Royal Surrey County Hospital NHS Trust,RA2,25,25,25,0,50
Royal United Hospital Bath NHS Trust,RD1,100,100,100,100,100
Salford Royal Hospitals NHS Trust,RM3,100,100,100,100,100
Salisbury NHS Foundation Trust,RNZ,50,25,25,50,25
Sandwell and West Birmingham Hospitals NHS Trust,RXK,75,50,50,50,75
Sheffield Childrens NHS Trust,RCU,75,75,0,25,25
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,75,75,100,75,100
Sherwood Forest Hospitals NHS Foundation Trust,RK5,25,50,25,100,75
Shrewsbury and Telford Hospital NHS Trust,RXW,75,50,25,50,50
South Tees Hospitals NHS Trust,RTR,75,50,50,100,25
South Tyneside Foundation NHS Trust,RE9,100,50,50,100,75
South Warwickshire NHS Foundation Trust,RJC,75,75,75,75,100
Southend University Hospital NHS Foundation Trust,RAJ,100,100,25,75,75
Southport and Ormskirk Hospital NHS Trust,RVY,50,25,25,25,50
St Georges University Hospitals NHS Foundation Trust,RJ7,25,100,50,75,75
St Helens and Knowsley Hospitals NHS Trust,RBN,75,75,25,100,0
Stockport NHS Foundation Trust,RWJ,100,100,75,25,75
Surrey and Sussex Healthcare NHS Trust,RTP,100,75,100,50,100
Tameside Hospital NHS Foundation Trust,RMP,100,75,50,75,50
Taunton and Somerset NHS Foundation Trust,RBA,75,25,75,100,100
The Christie NHS Foundation Trust,RBV,75,0,50,100,75
The Dudley Group NHS Foundation Trust,RNA,100,100,100,75,75
The Hillingdon Hospitals NHS Foundation Trust,RAS,75,100,75,100,75
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,100,100,75,100,75
The Princess Alexandra Hospital NHS Trust,RQW,75,75,75,75,25
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,25,25,75,25,25
The Queen Victoria Hospital NHS Foundation Trust,RPC,50,50,25,100,75
The Robert Jones & Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,50,25,25,75,25
The Rotherham NHS Foundation Trust,RFR,75,75,75,100,100
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,75,75,25,75,75
The Royal Marsden NHS Foundation Trust,RPY,25,100,100,25,75
The Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,50,75,50,75,75
The Royal Wolverhampton NHS Trust,RL4,100,100,75,75,100
The Walton Centre NHS Foundation Trust,RET,100,100,100,50,100
The Whittington Hospital NHS Trust,RKE,75,50,50,0,0
Torbay and Southern Devon Health and Care NHS Trust,R1G,100,50,75,75,100
United Lincolnshire Hospitals NHS Trust,RWD,75,100,50,75,50
University College London Hospitals NHS Foundation Trust,RRV,75,75,75,100,75
University Hospital Of North Staffordshire NHS Trust,RJE,75,75,75,100,75
University Hospital Of South Manchester NHS Foundation Trust,RM2,75,75,75,50,75
University Hospitals Birmingham NHS Foundation Trust,RRK,100,100,100,100,100
University Hospitals Bristol NHS Foundation Trust,RA7,100,75,75,100,100
University Hospitals Coventry and Warwickshire NHS,RKB,75,75,75,75,75
University Hospitals Of Leicester NHS Trust,RWE,100,100,100,75,75
University Hospitals Of Morecambe Bay NHS Trust,RTX,50,50,50,100,25
University Hospitals Southampton NHS Foundation Trust,RHM,75,50,25,75,50
Walsall Healthcare NHS Trust,RBK,75,75,100,100,25
Warrington and Halton Hospitals NHS Foundation Trust,RWW,100,100,75,100,75
West Hertfordshire Hospitals NHS Trust,RWG,75,75,75,25,75
West Suffolk NHS Foundation Trust,RGR,100,100,50,100,75
Western Sussex Hospitals NHS Trust,RYR,100,100,75,100,100
Weston Area Health NHS Trust,RA3,25,25,25,25,50
Wirral University Teaching Hospital NHS Foundation Trust,RBL,100,75,75,75,100
Worcestershire Acute Hospitals NHS Trust,RWP,75,75,75,100,75
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,100,75,50,75,50
Wye Valley NHS Trust,RLQ,50,50,75,25,25
Yeovil District Hospital NHS Foundation Trust,RA4,75,50,50,50,25
York Teaching Hospital NHS Foundation Trust,RCB,75,75,75,75,50
