organisation_name,organisation_id,Remote/virtual clinical consultations and clinical advice are available to patients and service users.,Health and care professionals are able to contribute remotely to discussions about patient and service user care with colleagues outside your organisation.,Your organisation is able to remotely monitor patients or service users whose condition is at high risk of deterioration.,Remote/virtual delivery of treatment is available for low intensity interventions.,Patients and service users can use digital services to help manage their own condition at home.,You have clear governance and consent agreements around the use of remote and assistive care technologies.
Derby Teaching Hospitals NHS Foundation Trust,RTG,75,75,25,,50,0
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,50,75,0,,0,0
Dorset County Hospital NHS Foundation Trust,RBD,25,75,75,,0,50
Dudley Group NHS Foundation Trust,RNA,0,75,0,,0,75
East and North Hertfordshire NHS Trust,RWH,75,75,25,,50,25
East Cheshire NHS Trust,RJN,0,25,0,,0,25
East Kent Hospitals University NHS Foundation Trust,RVV,25,50,0,,0,0
East Lancashire Hospitals NHS Trust,RXR,50,50,0,,25,100
East Sussex Healthcare NHS Trust,RXC,0,75,0,,0,0
Epsom and St Helier University Hospitals NHS Trust,RVR,50,75,50,,25,100
Frimley Health NHS Foundation Trust,RDU,0,75,0,,0,0
Gateshead Health NHS Foundation Trust,RR7,0,50,0,0,0,50
George Eliot Hospital NHS Trust,RLT,50,100,0,,50,50
Gloucestershire Hospitals NHS Foundation Trust,RTE,25,25,25,,25,25
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,100,100,75,,0,100
Great Western Hospitals NHS Foundation Trust,RN3,25,50,25,,25,100
Guys and St Thomas NHS Foundation Trust,RJ1,50,100,0,,25,75
Hampshire Hospitals NHS Foundation Trust,RN5,0,0,0,,0,0
Harrogate and District NHS Foundation Trust,RCD,0,50,0,,0,
Heart Of England NHS Foundation Trust,RR1,25,25,25,,50,50
Hillingdon Hospitals NHS Foundation Trust,RAS,25,25,0,,25,100
Homerton University Hospital NHS Foundation Trust,RQX,0,75,0,,0,50
Hull and East Yorkshire Hospitals NHS Trust,RWA,25,25,25,,25,25
Imperial College Healthcare NHS Trust,RYJ,50,50,25,,75,25
Ipswich Hospital NHS Trust,RGQ,25,50,0,,25,25
Isle Of Wight NHS Trust,R1F,50,75,50,,75,50
James Paget University Hospitals NHS Foundation Trust,RGP,0,75,0,,25,25
Kettering General Hospital NHS Foundation Trust,RNQ,25,75,0,,0,
Kings College Hospital NHS Foundation Trust,RJZ,25,25,0,,0,75
Kingston Hospital NHS Foundation Trust,RAX,25,50,25,,25,50
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,75,100,75,,75,100
Leeds Teaching Hospitals NHS Trust,RR8,25,50,25,,25,75
Lewisham and Greenwich NHS Trust,RJ2,75,75,0,50,75,75
Liverpool Heart and Chest Hospital NHS Foundation Trust,RBQ,75,75,75,,75,75
Liverpool Womens NHS Foundation Trust,REP,50,100,0,,50,50
London North West Healthcare NHS Trust,R1K,,,,,,
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,50,50,25,,50,75
Maidstone and Tunbridge Wells NHS Trust,RWF,75,100,0,,25,25
Medway NHS Foundation Trust,RPA,0,75,25,,50,75
Mid Cheshire Hospitals NHS Foundation Trust,RBT,25,75,0,,0,0
Mid Essex Hospital Services NHS Trust,RQ8,,,,,,
Mid Yorkshire Hospitals NHS Trust,RXF,25,0,25,,0,
Milton Keynes University Hospital NHS Foundation Trust,RD8,25,75,25,,50,75
Moorfields Eye Hospital NHS Foundation Trust,RP6,25,50,0,,0,0
Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,100,100,25,,25,75
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,0,75,0,,0,0
North Bristol NHS Trust,RVJ,0,75,0,,0,0
North Cumbria University Hospitals NHS Trust,RNL,25,75,0,0,0,50
North Middlesex University Hospital NHS Trust,RAP,0,0,0,,0,0
North Tees and Hartlepool NHS Foundation Trust,RVW,100,100,100,,100,100
North West Anglia NHS Foundation Trust,RGN,25,25,0,,0,75
Northampton General Hospital NHS Trust,RNS,75,75,25,,0,0
Northern Devon Healthcare NHS Trust,RBZ,75,75,25,,50,50
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,25,50,25,,25,25
Northumbria Healthcare NHS Foundation Trust,RTF,25,100,0,0,25,75
Nottingham University Hospitals NHS Trust,RX1,50,100,50,,25,100
Oxford University Hospitals NHS Foundation Trust,RTH,75,75,50,,25,75
Papworth Hospital NHS Foundation Trust,RGM,25,75,0,,25,75
Pennine Acute Hospitals NHS Trust,RW6,50,50,0,,0,100
Plymouth Hospitals NHS Trust,RK9,50,75,25,,25,100
Poole Hospital NHS Foundation Trust,RD3,25,50,25,,25,25
Portsmouth Hospitals NHS Trust,RHU,0,25,25,,0,100
Princess Alexandra Hospital NHS Trust,RQW,25,75,0,,0,100
Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,0,50,0,,0,
Queen Victoria Hospital NHS Foundation Trust,RPC,75,75,0,,0,25
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,25,100,,,,
Rotherham NHS Foundation Trust,RFR,50,25,50,,25,75
Royal Berkshire NHS Foundation Trust,RHW,25,25,25,,50,50
Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,25,75,50,,25,25
Royal Brompton and Harefield NHS Foundation Trust,RT3,100,100,100,,25,0
Royal Cornwall Hospitals NHS Trust,REF,75,75,75,,75,50
Royal Devon and Exeter NHS Foundation Trust,RH8,0,75,0,,0,0
Royal Free London NHS Foundation Trust,RAL,25,75,0,,0,
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,50,50,50,,50,50
Royal Marsden NHS Foundation Trust,RPY,25,100,25,,0,75
Royal National Orthopaedic Hospital NHS Trust,RAN,50,75,0,,0,0
Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,0,0,0,,25,50
Royal Surrey County Hospital NHS Foundation Trust,RA2,0,50,0,,0,0
Royal United Hospitals Bath NHS Foundation Trust,RD1,25,0,100,,50,50
Royal Wolverhampton NHS Trust,RL4,25,50,0,,0,0
Salford Royal NHS Foundation Trust,RM3,75,100,100,,75,100
Salisbury NHS Foundation Trust,RNZ,25,75,0,,0,0
Sandwell and West Birmingham Hospitals NHS Trust,RXK,50,100,0,,0,0
Sheffield Childrens NHS Foundation Trust,RCU,25,25,0,25,0,25
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,50,75,25,,25,50
Sherwood Forest Hospitals NHS Foundation Trust,RK5,25,75,50,,0,100
Shrewsbury and Telford Hospital NHS Trust,RXW,0,75,0,,25,25
South Tees Hospitals NHS Foundation Trust,RTR,25,75,25,,25,25
South Tyneside NHS Foundation Trust,RE9,25,50,25,,25,50
South Warwickshire NHS Foundation Trust,RJC,,,,,,
Southend University Hospital NHS Foundation Trust,RAJ,50,100,25,,50,100
Southport and Ormskirk Hospital NHS Trust,RVY,0,50,0,,0,
St Helens and Knowsley Hospitals NHS Trust,RBN,0,75,0,,0,
Stockport NHS Foundation Trust,RWJ,50,100,0,,0,50
Surrey and Sussex Healthcare NHS Trust,RTP,50,75,50,,50,75
Tameside Hospital NHS Foundation Trust,RMP,50,100,0,,0,100
Taunton and Somerset NHS Foundation Trust,RBA,75,50,50,,0,50
Torbay and South Devon NHS Foundation Trust,R1G,50,100,25,,50,100
United Lincolnshire Hospitals NHS Trust,RWD,0,75,0,,0,0
University College London Hospitals NHS Foundation Trust,RRV,25,25,0,,0,0
University Hospital Of South Manchester NHS Foundation Trust,RM2,25,50,0,,25,75
University Hospital Southampton NHS Foundation Trust,RHM,75,75,50,,75,50
University Hospitals Birmingham NHS Foundation Trust,RRK,75,75,50,,100,100
University Hospitals Bristol NHS Foundation Trust,RA7,50,75,0,,0,50
University Hospitals Coventry and Warwickshire NHS Trust,RKB,25,75,0,,25,75
University Hospitals Of Leicester NHS Trust,RWE,0,50,0,,0,0
University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,75,100,0,,0,100
University Hospitals of North Midlands NHS Trust,RJE,75,75,0,0,0,75
Walsall Healthcare NHS Trust,RBK,50,50,50,,,50
Walton Centre NHS Foundation Trust,RET,75,100,50,,75,100
Warrington and Halton Hospitals NHS Foundation Trust,RWW,25,0,0,,25,25
West Hertfordshire Hospitals NHS Trust,RWG,25,75,0,,0,
West Suffolk NHS Foundation Trust,RGR,25,50,0,,0,25
Western Sussex Hospitals NHS Foundation Trust,RYR,25,100,25,,25,25
Weston Area Health NHS Trust,RA3,25,75,0,,0,0
Whittington Health NHS Trust,RKE,25,25,25,,0,0
Wirral University Teaching Hospital NHS Foundation Trust,RBL,50,100,50,,50,50
Worcestershire Acute Hospitals NHS Trust,RWP,0,75,0,,25,75
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,50,75,0,,0,50
Wye Valley NHS Trust,RLQ,25,25,25,,25,25
Yeovil District Hospital NHS Foundation Trust,RA4,50,75,50,,50,75
York Teaching Hospital NHS Foundation Trust,RCB,75,100,0,,25,25
