organisation_name,organisation_id,Health and care professionals receive digital alerts to the existence of patient and service user preferences.,Health and care professionals receive digital alerts to specific patient and service user risks.,"Digital systems alert health and care professionals of patients and service users whose clinical observations, or early warning scores, are deteriorating and need review.",Digital systems alert health and care professionals outside your organisation to relevant operational information about their patients and service users.,Your organisation monitors the overruling of decision support prompts and the reasons recorded.,"Health and care professionals are directed to relevant, up to date and evidence-based reference material as part of digital clinical workflows and care pathways.","Digital systems provide automatic prompts for the next action required by multi-step care plans, pathways  protocols.",Healthcare professionals are prompted to complete or remind patients about overdue care actions and/or missing information.,Digital systems identify patients who are ready for discharge to a different setting.,"Digital systems supports patient discharge, social care notifications and multidisciplinary discharge planning.",Alerts support staff members in tracking Mental Health Act deadlines.,Digital systems support your triage and pathway allocation processes to enable effective and evidence based pathways of care.
South Warwickshire NHS Foundation Trust,RJC,,,,,,,,,,,,
Southend University Hospital NHS Foundation Trust,RAJ,0,100,100,50,50,25,25,0,0,100,,25
Southport and Ormskirk Hospital NHS Trust,RVY,50,75,100,50,100,75,75,50,75,75,,50
St Helens and Knowsley Hospitals NHS Trust,RBN,100,100,100,100,50,100,75,100,75,100,,75
Stockport NHS Foundation Trust,RWJ,25,75,25,25,50,25,25,0,100,100,,50
Surrey and Sussex Healthcare NHS Trust,RTP,50,75,50,25,100,25,50,25,50,25,,25
Tameside Hospital NHS Foundation Trust,RMP,75,100,25,75,75,25,75,25,75,25,,50
Taunton and Somerset NHS Foundation Trust,RBA,50,75,0,0,0,0,0,0,25,50,,50
Torbay and South Devon NHS Foundation Trust,R1G,25,50,100,50,75,25,0,0,0,75,,50
United Lincolnshire Hospitals NHS Trust,RWD,0,75,25,75,25,0,25,25,75,75,,0
University College London Hospitals NHS Foundation Trust,RRV,25,50,25,0,0,0,0,0,0,50,,0
University Hospital Of South Manchester NHS Foundation Trust,RM2,25,75,25,75,50,75,50,25,100,75,,25
University Hospital Southampton NHS Foundation Trust,RHM,50,0,100,25,75,100,0,75,75,100,,0
University Hospitals Birmingham NHS Foundation Trust,RRK,100,100,100,75,100,100,75,100,100,100,,50
University Hospitals Bristol NHS Foundation Trust,RA7,75,75,25,50,25,50,25,25,50,75,,50
University Hospitals Coventry and Warwickshire NHS Trust,RKB,25,50,75,50,50,50,50,50,75,100,,25
University Hospitals Of Leicester NHS Trust,RWE,25,50,75,50,50,0,0,0,75,100,,75
University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,100,100,0,75,25,75,0,50,100,75,,75
University Hospitals of North Midlands NHS Trust,RJE,75,100,75,100,100,0,75,50,0,0,0,0
Walsall Healthcare NHS Trust,RBK,75,75,75,75,75,50,50,75,75,75,,
Walton Centre NHS Foundation Trust,RET,50,75,75,25,50,25,75,75,75,75,,75
Warrington and Halton Hospitals NHS Foundation Trust,RWW,0,100,0,75,100,0,100,100,100,100,,0
West Hertfordshire Hospitals NHS Trust,RWG,0,25,0,0,,0,0,25,0,0,,25
West Suffolk NHS Foundation Trust,RGR,100,100,100,0,25,0,0,25,75,50,,75
Western Sussex Hospitals NHS Foundation Trust,RYR,100,100,100,0,100,75,75,100,75,25,,25
Weston Area Health NHS Trust,RA3,0,0,0,0,0,0,0,0,0,0,,0
Whittington Health NHS Trust,RKE,75,75,0,25,50,50,0,25,75,75,,75
Wirral University Teaching Hospital NHS Foundation Trust,RBL,75,100,100,100,100,100,100,75,100,100,,100
Worcestershire Acute Hospitals NHS Trust,RWP,25,50,25,75,0,0,25,25,75,50,,0
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,75,100,75,75,0,0,50,75,50,100,,75
Wye Valley NHS Trust,RLQ,25,75,25,25,0,25,0,0,75,25,,100
Yeovil District Hospital NHS Foundation Trust,RA4,75,75,75,75,25,0,0,25,100,75,,25
York Teaching Hospital NHS Foundation Trust,RCB,50,75,100,75,75,75,75,75,100,100,,100
