organisation_name,organisation_id,strategic_alignment,leadership,resourcing,governance,information_governance,records_assessments_plans,orders_results_management,transfers_of_care,medicines_management_optimisation,decision_support,remote_assistive_care,asset_resource_optimisation,business_clinical_intelligence,standards,enabling_infrastructure,readiness,capabilities
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,100,100,75,92,96,19,27,12,57,16,75,85,55,14,92,93,40
Great Western Hospitals NHS Foundation Trust,RN3,95,88,70,88,80,38,54,52,64,39,45,65,86,47,70,84,54
Greater Manchester Mental Health NHS Foundation Trust,RXV,100,72,65,88,76,63,19,49,5,39,20,30,77,44,73,80,38
Guys and St Thomas NHS Foundation Trust,RJ1,80,84,65,83,57,64,73,34,71,36,50,18,64,29,64,74,49
Hampshire Hospitals NHS Foundation Trust,RN5,75,78,45,75,46,50,74,55,61,27,0,30,66,38,62,64,45
Harrogate and District NHS Foundation Trust,RCD,100,100,95,96,89,41,65,42,62,34,13,54,59,42,60,96,46
Heart Of England NHS Foundation Trust,RR1,75,84,75,67,40,48,74,49,52,36,35,54,79,46,57,68,53
Hertfordshire Community NHS Trust,RY4,85,75,85,88,87,71,66,64,12,38,30,21,82,50,72,84,48
Hertfordshire Partnership University NHS Foundation Trust,RWR,85,78,65,63,89,55,65,23,10,39,45,56,52,29,58,76,42
Hillingdon Hospitals NHS Foundation Trust,RAS,90,91,85,88,84,27,70,53,18,20,35,50,75,58,92,88,45
Homerton University Hospital NHS Foundation Trust,RQX,100,97,85,79,80,,87,75,83,75,25,71,72,85,74,88,72
Hounslow and Richmond Community Healthcare NHS Trust,RY9,95,84,80,92,94,69,78,79,43,72,65,75,93,58,91,89,70
Hull and East Yorkshire Hospitals NHS Trust,RWA,100,94,90,92,87,58,81,83,27,61,25,65,91,71,70,93,62
Humber NHS Foundation Trust,RV9,95,84,85,88,88,57,16,55,33,65,33,61,64,75,80,88,51
Imperial College Healthcare NHS Trust,RYJ,100,100,100,100,86,69,78,78,79,52,45,43,90,83,78,97,69
Ipswich Hospital NHS Trust,RGQ,100,97,100,100,97,55,79,70,42,11,25,60,68,79,89,99,54
Isle Of Wight NHS Trust,R1F,70,38,45,50,74,55,53,62,71,43,60,34,64,49,54,55,55
James Paget University Hospitals NHS Foundation Trust,RGP,85,84,70,83,74,63,48,83,80,5,25,30,68,58,68,79,51
Kent and Medway NHS and Social Care Partnership Trust,RXY,85,88,90,92,98,82,69,65,11,79,40,44,70,50,90,91,57
Kent Community Health NHS Foundation Trust,RYY,95,79,85,88,90,64,49,63,38,58,70,63,80,73,83,87,62
Kettering General Hospital NHS Foundation Trust,RNQ,75,69,70,58,74,35,61,68,34,16,25,55,72,50,50,69,46
Kings College Hospital NHS Foundation Trust,RJZ,85,88,75,79,66,49,84,58,57,36,25,45,52,23,64,79,48
Kingston Hospital NHS Foundation Trust,RAX,90,88,75,79,76,53,78,61,70,61,35,60,86,90,71,82,66
Lancashire Care NHS Foundation Trust,RW5,100,100,95,96,97,56,44,28,68,38,58,58,84,63,90,98,55
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,100,97,90,96,80,50,83,63,73,61,85,85,93,48,87,93,71
Leeds and York Partnership NHS Foundation Trust,RGD,100,97,90,75,96,75,9,28,73,46,40,40,89,27,86,92,47
Leeds Community Healthcare NHS Trust,RY6,70,56,70,63,70,75,63,16,26,41,25,31,78,38,65,66,44
Leeds Teaching Hospitals NHS Trust,RR8,90,72,80,83,84,71,68,68,48,59,40,40,50,68,37,82,57
Leicestershire Partnership NHS Trust,RT5,90,88,95,88,82,70,21,50,86,67,21,39,75,44,77,89,53
Lewisham and Greenwich NHS Trust,RJ2,95,69,75,75,75,49,88,78,26,33,58,55,70,88,78,78,61
Lincolnshire Community Health Services NHS Trust,RY5,85,89,80,71,61,75,47,81,17,61,60,44,60,94,68,77,60
Lincolnshire Partnership NHS Foundation Trust,RP7,85,71,80,67,86,41,40,42,13,40,50,60,68,35,71,78,43
Liverpool Community Health NHS Trust,RY1,75,56,75,63,74,63,36,54,39,50,80,44,66,58,72,69,54
Liverpool Heart and Chest Hospital NHS Foundation Trust,RBQ,95,97,90,96,92,72,94,75,78,73,75,95,73,66,88,94,78
Liverpool Womens NHS Foundation Trust,REP,100,97,100,100,90,74,73,81,72,45,50,71,80,75,97,97,69
London North West Healthcare NHS Trust,R1K,80,69,70,79,71,,,66,,,,,77,58,64,74,67
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,100,95,100,83,62,92,78,97,64,50,80,77,38,95,96,71
Maidstone and Tunbridge Wells NHS Trust,RWF,75,81,75,79,71,46,77,56,27,41,45,40,52,39,68,76,47
Medway NHS Foundation Trust,RPA,90,91,95,100,82,59,96,77,18,75,45,70,59,64,85,92,63
Mersey Care NHS Foundation Trust,RW4,100,100,100,100,94,73,,26,41,31,42,36,70,33,79,99,44
Mid Cheshire Hospitals NHS Foundation Trust,RBT,85,81,70,88,72,43,68,66,26,23,20,25,63,54,73,79,43
Mid Essex Hospital Services NHS Trust,RQ8,90,94,85,96,91,57,91,83,63,61,,,93,75,78,91,75
Mid Yorkshire Hospitals NHS Trust,RXF,63,38,40,50,69,49,71,46,17,28,13,50,75,55,65,52,45
Milton Keynes University Hospital NHS Foundation Trust,RD8,80,81,85,88,85,54,58,70,29,7,50,40,55,33,68,84,44
Moorfields Eye Hospital NHS Foundation Trust,RP6,80,88,70,75,70,34,44,85,8,25,15,15,75,50,68,77,39
Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,95,88,100,96,98,60,79,76,83,45,65,43,20,75,86,95,61
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,55,75,,54,71,23,66,28,43,11,15,32,48,38,57,64,34
Norfolk and Suffolk NHS Foundation Trust,RMY,75,75,80,63,78,55,35,32,26,38,55,63,56,65,73,74,47
Norfolk Community Health And Care NHS Trust,RY3,100,81,60,83,76,64,64,68,13,53,35,38,88,75,75,80,55
North Bristol NHS Trust,RVJ,80,78,90,79,82,56,83,36,11,48,15,65,64,88,72,82,52
North Cumbria University Hospitals NHS Trust,RNL,65,69,40,75,81,39,37,20,10,18,25,25,59,31,59,66,29
North East London NHS Foundation Trust,RAT,100,97,95,96,95,71,48,42,32,56,67,71,84,67,95,97,60
North Middlesex University Hospital NHS Trust,RAP,80,72,35,33,71,29,63,52,5,20,0,40,23,48,48,58,31
North Staffordshire Combined Healthcare NHS Trust,RLY,100,100,100,100,96,79,46,52,24,79,35,60,93,95,93,99,63
North Tees and Hartlepool NHS Foundation Trust,RVW,85,97,100,100,97,68,90,80,77,95,100,100,100,92,98,96,89
North West Anglia NHS Foundation Trust,RGN,75,94,75,79,82,40,68,59,33,55,25,60,68,50,69,81,51
North West Boroughs Healthcare NHS Foundation Trust,RTV,90,94,80,83,70,62,35,32,15,33,25,36,60,54,74,83,39
Northampton General Hospital NHS Trust,RNS,85,68,70,67,76,49,88,80,63,52,35,55,52,56,78,73,59
Northamptonshire Healthcare NHS Foundation Trust,RP1,80,69,90,83,77,75,71,92,8,77,33,57,73,58,77,80,60
Northern Devon Healthcare NHS Trust,RBZ,95,94,100,96,84,63,61,71,33,57,55,61,68,67,84,94,60
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,65,53,35,42,57,61,84,58,12,61,30,64,59,33,59,50,51
"Northumberland, Tyne and Wear NHS Foundation Trust",RX4,100,100,90,92,91,79,52,49,18,50,42,80,91,69,97,95,59
Northumbria Healthcare NHS Foundation Trust,RTF,85,75,65,75,87,45,53,23,37,35,38,36,68,50,62,77,43
Nottingham University Hospitals NHS Trust,RX1,100,97,90,96,80,65,88,89,37,59,65,70,80,75,89,93,70
Nottinghamshire Healthcare NHS Foundation Trust,RHA,70,78,69,67,73,56,16,35,12,23,21,32,66,47,73,71,34
Oxford Health NHS Foundation Trust,RNU,90,91,90,92,88,55,29,36,12,35,67,32,70,42,83,90,42
Oxford University Hospitals NHS Foundation Trust,RTH,85,91,90,75,83,64,88,92,96,75,60,75,70,96,87,85,80
Oxleas NHS Foundation Trust,RPG,90,91,70,83,90,73,48,64,23,42,58,57,67,46,80,85,53
Papworth Hospital NHS Foundation Trust,RGM,90,88,80,92,67,28,82,33,85,20,40,85,48,58,74,83,53
Pennine Acute Hospitals NHS Trust,RW6,69,78,95,75,78,56,93,94,69,64,40,61,68,55,73,79,67
Pennine Care NHS Foundation Trust,RT2,75,69,60,67,74,42,38,49,0,13,67,39,38,21,60,69,34
Plymouth Hospitals NHS Trust,RK9,100,100,100,100,96,43,72,51,70,46,55,86,95,83,97,99,67
Poole Hospital NHS Foundation Trust,RD3,85,78,60,79,85,64,58,58,29,52,30,20,75,42,64,77,48
Portsmouth Hospitals NHS Trust,RHU,80,72,45,88,78,38,49,46,9,23,30,30,45,39,66,73,34
Princess Alexandra Hospital NHS Trust,RQW,90,78,85,71,82,42,83,84,32,57,40,30,91,64,80,81,58
Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,55,50,30,50,63,24,35,27,16,5,13,25,61,22,60,50,25
Queen Victoria Hospital NHS Foundation Trust,RPC,80,63,85,58,84,27,25,56,5,0,35,40,59,29,61,74,31
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,70,66,70,67,82,39,53,33,13,33,63,30,55,46,75,71,41
Rotherham Doncaster and South Humber NHS Foundation Trust,RXE,85,78,70,83,70,68,30,47,10,63,38,39,43,60,75,77,44
Rotherham NHS Foundation Trust,RFR,80,81,85,83,81,62,80,77,40,64,45,57,75,65,83,82,63
Royal Berkshire NHS Foundation Trust,RHW,90,91,85,83,68,49,85,68,25,45,35,55,57,60,72,83,53
Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,85,88,70,75,54,51,44,46,18,36,40,50,89,50,66,74,47
Royal Brompton and Harefield NHS Foundation Trust,RT3,95,100,80,88,88,55,81,56,75,14,65,90,90,29,92,90,62
Royal Cornwall Hospitals NHS Trust,REF,100,94,90,92,79,68,94,97,91,70,70,70,93,75,98,91,81
Royal Devon and Exeter NHS Foundation Trust,RH8,75,84,75,83,83,17,44,42,17,32,15,57,58,50,73,80,37
Royal Free London NHS Foundation Trust,RAL,81,78,80,79,70,46,79,54,43,23,25,35,44,71,62,78,47
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,100,94,100,92,89,79,96,95,94,81,50,90,82,71,90,95,82
Royal Marsden NHS Foundation Trust,RPY,90,91,65,96,94,41,44,49,34,7,45,43,81,29,45,87,41
Royal National Orthopaedic Hospital NHS Trust,RAN,100,97,60,88,79,40,97,24,5,30,25,45,97,38,97,85,45
Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,75,72,65,46,63,8,30,37,3,13,15,45,63,50,67,64,29
Royal Surrey County Hospital NHS Foundation Trust,RA2,85,81,35,58,45,37,70,55,44,39,10,55,44,70,63,61,47
Royal United Hospitals Bath NHS Foundation Trust,RD1,95,97,100,100,86,66,87,73,88,61,45,63,92,100,78,96,75
Royal Wolverhampton NHS Trust,RL4,100,97,90,100,97,86,93,93,38,77,15,79,94,75,92,97,72
Salford Royal NHS Foundation Trust,RM3,100,97,100,100,99,97,97,94,81,93,90,89,91,63,98,99,88
Salisbury NHS Foundation Trust,RNZ,75,56,15,50,77,43,82,67,19,,20,36,,54,63,55,46
Sandwell and West Birmingham Hospitals NHS Trust,RXK,90,78,70,67,87,51,64,48,3,34,30,50,64,54,75,78,44
Sheffield Childrens NHS Foundation Trust,RCU,80,88,80,79,78,35,44,24,28,13,17,29,,63,55,81,32
Sheffield Health and Social Care NHS Foundation Trust,TAH,95,91,95,88,74,76,100,91,66,80,71,54,88,77,83,89,78
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,95,91,80,75,70,61,80,70,44,36,45,61,70,67,73,82,59
Sherwood Forest Hospitals NHS Foundation Trust,RK5,95,75,80,83,89,46,88,70,15,57,50,70,73,75,83,84,60
Shrewsbury and Telford Hospital NHS Trust,RXW,69,63,55,58,68,42,56,48,3,25,25,50,68,42,67,63,40
Shropshire Community Health NHS Trust,R1D,95,81,95,79,69,29,36,26,3,3,95,6,64,44,83,84,34
Solent NHS Trust,R1C,85,84,60,75,88,71,73,74,25,75,33,57,75,58,72,78,60
Somerset Partnership NHS Foundation Trust,RH5,100,84,100,79,78,69,45,60,38,50,79,50,86,63,83,88,60
South London and Maudsley NHS Foundation Trust,RV5,100,91,90,88,86,69,35,67,11,31,58,75,90,44,78,91,53
South Staffordshire and Shropshire Healthcare NHS Foundation Trust,RRE,88,75,75,96,86,74,32,55,2,29,50,55,77,55,86,84,48
South Tees Hospitals NHS Foundation Trust,RTR,100,84,85,88,74,61,97,68,27,48,35,61,86,67,78,86,61
South Tyneside NHS Foundation Trust,RE9,95,81,75,71,84,45,76,44,12,36,35,46,80,29,72,81,45
South Warwickshire NHS Foundation Trust,RJC,85,84,80,96,78,33,56,,14,,,,34,56,71,85,39
South West London and St Georges Mental Health NHS Trust,RQY,80,44,70,58,83,64,10,45,75,34,60,40,67,60,88,67,51
South West Yorkshire Partnership NHS Foundation Trust,RXG,80,66,70,88,86,52,23,33,3,69,58,46,65,59,78,78,45
Southend University Hospital NHS Foundation Trust,RAJ,90,91,75,100,91,67,94,72,75,43,65,55,59,30,88,89,62
Southern Health NHS Foundation Trust,RW1,90,97,100,100,98,96,51,70,41,20,33,43,100,70,95,97,58
Southport and Ormskirk Hospital NHS Trust,RVY,80,59,35,58,66,49,30,74,23,70,13,50,,56,75,60,46
St Helens and Knowsley Hospitals NHS Trust,RBN,100,97,100,100,93,61,88,83,56,89,19,65,89,63,89,98,68
Staffordshire and Stoke on Trent Partnership NHS Trust,R1E,44,47,65,25,72,43,19,23,10,11,25,50,59,75,73,51,35
Stockport NHS Foundation Trust,RWJ,90,84,85,92,87,63,86,81,76,45,40,55,64,67,97,88,64
Surrey and Borders Partnership NHS Foundation Trust,RXX,90,91,80,79,90,60,42,40,23,67,70,50,75,33,81,86,51
Surrey and Sussex Healthcare NHS Trust,RTP,95,94,90,96,97,47,93,70,8,45,60,60,89,67,84,94,60
Sussex Community NHS Foundation Trust,RDR,80,84,75,79,88,60,14,36,3,67,30,69,45,42,57,81,41
Sussex Partnership NHS Foundation Trust,RX2,95,94,90,88,94,73,5,36,2,56,69,83,82,75,97,92,53
Tameside Hospital NHS Foundation Trust,RMP,85,94,75,71,74,56,90,85,20,57,50,45,80,50,72,80,59
Taunton and Somerset NHS Foundation Trust,RBA,100,97,95,96,90,43,81,61,16,23,45,60,59,58,81,96,50
Tavistock and Portman NHS Foundation Trust,RNK,70,72,65,75,74,49,,33,13,25,55,25,72,88,80,71,45
"Tees, Esk and Wear Valleys NHS Foundation Trust",RX3,85,84,95,92,86,55,8,47,4,13,10,50,73,21,77,88,31
Torbay and South Devon NHS Foundation Trust,R1G,90,94,75,96,92,55,73,29,70,41,65,43,70,50,91,89,55
United Lincolnshire Hospitals NHS Trust,RWD,80,78,85,75,77,36,61,62,8,36,15,50,66,50,67,79,43
University College London Hospitals NHS Foundation Trust,RRV,80,78,70,79,74,31,69,41,67,14,10,25,45,18,66,76,36
University Hospital Of South Manchester NHS Foundation Trust,RM2,80,88,60,88,67,53,93,40,25,55,35,54,58,33,78,77,50
University Hospital Southampton NHS Foundation Trust,RHM,100,100,94,88,70,85,92,85,72,55,65,70,80,58,82,90,74
University Hospitals Birmingham NHS Foundation Trust,RRK,100,100,100,100,88,72,83,86,99,91,80,70,93,58,97,98,81
University Hospitals Bristol NHS Foundation Trust,RA7,100,97,95,92,70,65,85,79,25,48,35,60,70,58,77,91,58
University Hospitals Coventry and Warwickshire NHS Trust,RKB,95,97,85,79,82,43,75,61,29,55,40,55,80,46,83,88,54
University Hospitals Of Leicester NHS Trust,RWE,80,100,100,92,98,65,89,85,77,45,10,71,82,83,82,94,67
University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,100,97,95,96,93,68,77,80,35,61,55,65,73,58,95,96,64
University Hospitals of North Midlands NHS Trust,RJE,100,100,90,96,89,44,87,70,17,48,38,47,77,54,85,95,54
Walsall Healthcare NHS Trust,RBK,81,78,80,83,71,68,92,80,30,70,50,46,75,62,77,79,64
Walton Centre NHS Foundation Trust,RET,100,97,100,100,98,62,74,49,51,61,80,70,73,58,80,99,64
Warrington and Halton Hospitals NHS Foundation Trust,RWW,100,100,100,100,94,60,100,88,33,61,15,60,91,50,100,99,62
West Hertfordshire Hospitals NHS Trust,RWG,56,66,75,54,70,16,54,54,8,8,25,25,56,30,54,64,31
West London Mental Health NHS Trust,RKL,100,94,75,79,75,52,23,22,19,13,25,20,66,37,65,85,31
West Suffolk NHS Foundation Trust,RGR,90,97,95,88,80,47,88,61,71,50,20,50,27,48,73,90,51
Western Sussex Hospitals NHS Foundation Trust,RYR,100,88,90,96,80,62,65,77,89,70,40,50,91,96,89,91,71
Weston Area Health NHS Trust,RA3,69,72,30,58,75,36,74,57,25,0,20,25,52,33,63,61,36
Whittington Health NHS Trust,RKE,100,91,80,75,92,59,86,76,72,48,15,64,78,27,79,88,58
Wirral Community NHS Foundation Trust,RY7,100,91,90,96,87,88,70,56,68,80,35,35,75,75,85,93,65
Wirral University Teaching Hospital NHS Foundation Trust,RBL,100,100,100,92,96,87,100,97,82,95,60,85,95,92,98,98,88
Worcestershire Acute Hospitals NHS Trust,RWP,95,86,100,100,94,35,74,58,14,32,35,50,61,71,58,95,48
Worcestershire Health and Care NHS Trust,R1A,100,84,70,92,84,61,45,45,4,19,17,46,55,54,75,86,38
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,80,81,70,88,85,65,88,73,67,61,35,55,75,71,97,81,66
Wye Valley NHS Trust,RLQ,80,72,55,75,60,19,46,33,31,34,25,29,83,45,60,68,38
Yeovil District Hospital NHS Foundation Trust,RA4,100,97,100,96,89,53,61,72,20,50,60,65,77,83,86,96,60
York Teaching Hospital NHS Foundation Trust,RCB,85,91,80,83,83,74,90,97,31,82,45,61,97,58,85,84,71
